"","date","id","deaths","new_deaths","confirmed","new_confirmed","population","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","cs","series","p2.5_signal","p97.5_signal","mean_signal","p2.5_position","p97.5_position","mean_position","p2.5_growth_rate","p97.5_growth_rate","p25_growth_rate","p75_growth_rate","growth_rate","percentile_0_growth_rate","dispersion","z_score_growth_rate","country","state","county","deaths_pc"
"1",2020-03-10,"0d9b81b2",0,0,1,1,36392,2,"Sweden","Kalmar",NA,1,1,0.444198279156588,2.1727464995349,0.982410431610384,-1.01578354785551,0.514515142049942,-0.250634202902783,-0.0270766493550822,0.135262644181232,0.0261597827193333,0.0820262121068164,0.0540929974130748,0.0957495350068878,1.58934595349856,1.30615730099539,"Sweden","Kalmar",NA,0
"2",2020-03-11,"0d9b81b2",0,0,3,2,36392,2,"Sweden","Kalmar",NA,3,2,0.562055975474217,2.45974057698253,1.17580265751079,-0.905213959754404,0.512131548774987,-0.196541205489708,-0.0236552673888277,0.13186837957181,0.0273460883952745,0.0808670237877076,0.0541065560914911,0.0863247209877493,1.58934595349856,1.3637398985848,"Sweden","Kalmar",NA,0
"3",2020-03-12,"0d9b81b2",0,0,5,2,36392,2,"Sweden","Kalmar",NA,5,2,0.684523868118592,2.70985496855616,1.36196931137102,-0.799292895853261,0.51442359705683,-0.142434649398216,-0.0201218502475719,0.128565708259242,0.0286377256772058,0.0798061323344644,0.0542219290058351,0.0764330003683548,1.58934595349856,1.42948110912527,"Sweden","Kalmar",NA,0
"4",2020-03-13,"0d9b81b2",0,0,5,0,36392,2,"Sweden","Kalmar",NA,5,0,0.602292018345808,2.21139113559935,1.15408111951117,-0.698037568954018,0.521612128169253,-0.0882127203923826,-0.016466559805333,0.125489115963764,0.0300854087663965,0.0789371473920341,0.0545112780792153,0.0661285471748943,1.58934595349856,1.50526058514623,"Sweden","Kalmar",NA,0
"5",2020-03-14,"0d9b81b2",0,0,7,2,36392,2,"Sweden","Kalmar",NA,7,2,0.29669318527762,1.06893992123223,0.563158228298938,-0.601291107534239,0.533888222907906,-0.0337014423131663,-0.012875107142353,0.1225542932753,0.0315366795493296,0.0781425065836178,0.0548395930664737,0.0562222177233467,1.58934595349856,1.58730123600415,"Sweden","Kalmar",NA,0
"6",2020-03-15,"0d9b81b2",0,0,7,0,36392,2,"Sweden","Kalmar",NA,7,0,0.202261330593193,0.726948748204553,0.383449633048343,-0.508941630403991,0.55121793191061,0.0211381507533091,-0.00918499614712871,0.119971281179461,0.0331696256767199,0.0776166593556119,0.0553931425161659,0.0463623410473178,1.58934595349856,1.68119686583485,"Sweden","Kalmar",NA,0
"7",2020-03-16,"0d9b81b2",0,0,7,0,36392,2,"Sweden","Kalmar",NA,7,0,0.796123980795578,2.3938237270751,1.38050008146394,-0.420637108767962,0.57369969530692,0.0765312932694791,-0.0054576535190927,0.117698705733992,0.034929396412491,0.0773116558024079,0.0561205261074494,0.0370291491025315,1.58934595349856,1.78625303039374,"Sweden","Kalmar",NA,0
"8",2020-03-17,"0d9b81b2",0,0,7,0,36392,2,"Sweden","Kalmar",NA,7,0,0.858933980879229,2.41848921524893,1.44129197922116,-0.336034652447215,0.601338291201086,0.132651819376935,-0.00187928659032771,0.11561141673596,0.0366498070798135,0.0770823230658184,0.056866065072816,0.028896553454587,1.58934595349856,1.89726397629443,"Sweden","Kalmar",NA,0
"9",2020-03-18,"0d9b81b2",0,0,8,1,36392,2,"Sweden","Kalmar",NA,8,1,1.05706938174878,2.8306882761427,1.72980747656659,-0.254856004084039,0.633891772983542,0.189517884449751,0.00136477143434505,0.113572801931994,0.0381615016877992,0.0767760716785403,0.0574687866831697,0.0223406979586818,1.58934595349856,2.00764154997957,"Sweden","Kalmar",NA,0
"10",2020-03-19,"0d9b81b2",0,0,9,1,36392,2,"Sweden","Kalmar",NA,9,1,1.25388519034348,3.22347222291503,2.01043877842543,-0.176902449638379,0.670875791904222,0.246986671132921,0.00417362821023692,0.11152782775127,0.039378626502847,0.0763228294586601,0.0578507279807536,0.0173278036616751,1.58934595349856,2.11235971776515,"Sweden","Kalmar",NA,0
